,Transformation parameter epsilon,RMS myeloma PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
111,0.3083740963613384,0.6264427115104256,6.685708807084625e-08,4.314012869168053,2.528729396187558e-07,4.314012869168053
112,0.3111522413736027,0.6264416630851478,6.63726418484377e-08,4.3129810279526275,2.5398587749848475e-07,4.3129810279526275
113,0.313930386385867,0.6264410611508591,6.589182278003408e-08,4.3119500568300575,2.551027731557681e-07,4.3119500568300575
114,0.3167085313981313,0.6264409011000627,6.541461358887756e-08,4.310919918640448,2.5622367648937894e-07,4.310919918640448
115,0.31948667641039563,0.626441189137652,6.494098902845133e-08,4.309890602353243,2.57348608918634e-07,4.309890602353243
116,0.32226482142265994,0.6264419257489513,6.447090194774092e-08,4.3088621719330495,2.5847750988656407e-07,4.3088621719330495
117,0.32504296643492425,0.6264431124557709,6.400430627044885e-08,4.307834690140586,2.5961031887323387e-07,4.307834690140586
118,0.32782111144718856,0.6264447309879017,6.354121497243145e-08,4.3068080200800445,2.6074719645431416e-07,4.3068080200800445
119,0.3305992564594529,0.6264468040065816,6.308158619681745e-08,4.305782210156089,2.6188809775748436e-07,4.305782210156089
120,0.3333774014717172,0.6264493141759768,6.262536311218832e-08,4.304757364225098,2.6303291636784665e-07,4.304757364225098
121,0.3361555464839815,0.6264522637200874,6.21725409871523e-08,4.303733406672823,2.6418174499081134e-07,4.303733406672823
122,0.3389336914962458,0.6264556614372447,6.172308366369644e-08,4.302710371102076,2.6533455406427266e-07,4.302710371102076
123,0.3417118365085101,0.6264594941409429,6.127697402075936e-08,4.301688226071309,2.6649138815654625e-07,4.301688226071309
124,0.3444899815207744,0.6264637675891581,6.083416550495606e-08,4.300667044450666,2.676521726911016e-07,4.300667044450666
125,0.34726812653303873,0.6264684809751319,6.039464776707812e-08,4.299646771926736,2.688169775351203e-07,4.299646771926736
126,0.35004627154530304,0.6264736268430134,5.995838493079775e-08,4.298627446113734,2.699857682351135e-07,4.298627446113734
127,0.35282441655756736,0.6264792211228234,5.952533911762616e-08,4.297609112916231,2.711584990558031e-07,4.297609112916231
128,0.35560256156983167,0.6264852498978606,5.909548157586871e-08,4.296591787668436,2.723351599159452e-07,4.296591787668436
129,0.358380706582096,0.6264917060785126,5.8668818839730156e-08,4.295575356369919,2.7351589081046235e-07,4.295575356369919
130,0.3611588515943603,0.6264986086580695,5.8245294669283676e-08,4.294559935135999,2.7470056372590657e-07,4.294559935135999
131,0.3639369966066246,0.6265059401780475,5.782488095894038e-08,4.29354553996915,2.7588916751200237e-07,4.29354553996915
132,0.3667151416188889,0.6265122124139866,5.745985476102484e-08,4.292335296010809,2.773141202605825e-07,4.292335296010809
133,0.3694932866311532,0.6265219082337122,5.6993323033384923e-08,4.291519702776383,2.782783413931765e-07,4.291519702776383
134,0.3722714316434175,0.6265305342535472,5.65821254385319e-08,4.290508284269086,2.7947889833053945e-07,4.290508284269086
135,0.37504957665568184,0.6265395848944171,5.617394709776282e-08,4.289497880808876,2.806834267087217e-07,4.289497880808876
136,0.37782772166794615,0.6265490812379264,5.576873943616123e-08,4.28848859059606,2.8189181450621125e-07,4.28848859059606
137,0.38060586668021046,0.6265590046024839,5.536655323870278e-08,4.287480129472312,2.831044100852829e-07,4.287480129472312
138,0.38338401169247477,0.6265693289242725,5.496722664955623e-08,4.286473039514918,2.8432056694076067e-07,4.286473039514918
139,0.3861621567047391,0.6265800554215417,5.457084774705003e-08,4.285466891343636,2.8554080779462915e-07,4.285466891343636
140,0.3889403017170034,0.6265911673081953,5.41773817043909e-08,4.284461733741709,2.8676508144699217e-07,4.284461733741709
141,0.3917184467292677,0.6266026763592246,5.378677835937955e-08,4.283457677959961,2.8799325790334495e-07,4.283457677959961
142,0.394496591741532,0.626614589212059,5.3399005060367647e-08,4.282454768609446,2.892252870712834e-07,4.282454768609446
143,0.3972747367537963,0.6266268831857089,5.301407257215675e-08,4.281452877220824,2.904613332374833e-07,4.281452877220824
144,0.40005288176606063,0.6266395733097505,5.2631924460886945e-08,4.280452145454802,2.9170122623010365e-07,4.280452145454802
145,0.40283102677832494,0.6266526583029324,5.225257116402985e-08,4.279452445396945,2.929451297914447e-07,4.279452445396945
146,0.40560917179058925,0.6266661183223228,5.187596954148679e-08,4.278453868428372,2.9419293642597274e-07,4.278453868428372
147,0.40838731680285356,0.6266799824181043,5.1502074623866325e-08,4.2774565151265,2.954445229923426e-07,4.2774565151265
148,0.41116546181511787,0.6266942274442237,5.1130898602358736e-08,4.276460251685573,2.967000625486484e-07,4.276460251685573
149,0.4139436068273822,0.6267088538497356,5.076241451632242e-08,4.275465105661667,2.9795952517503616e-07,4.275465105661667
