,Transformation parameter epsilon,RMS colon PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
45,0.13612910560095118,0.5957291887881272,7.322527202329984e-07,4.403442547076675,1.3335000699742746e-06,4.403442547076675
46,0.1389072506132155,0.5968282294229864,7.754805776241544e-07,4.387325739424443,1.4264074555127368e-06,4.387325739424443
47,0.1416853956254798,0.5981624493107981,8.014061098718281e-07,4.376883179025203,1.4899655040056859e-06,4.376883179025203
48,0.1444635406377441,0.5955179870272126,7.136142813973429e-07,4.400929298047858,1.3476483947945777e-06,4.400929298047858
49,0.14724168565000842,0.5971427121370937,7.799534487914912e-07,4.377565661234655,1.48592742344037e-06,4.377565661234655
50,0.15001983066227273,0.5955791607078708,7.145480735624364e-07,4.394989154377731,1.381583807437432e-06,4.394989154377731
51,0.15279797567453704,0.5983278082826621,7.881098891435276e-07,4.369540745927746,1.5365493722221867e-06,4.369540745927746
52,0.15557612068680135,0.5981531186033086,7.854897687176716e-07,4.3675230006383785,1.5496582750176595e-06,4.3675230006383785
53,0.15835426569906566,0.6002391517319811,8.240434196557796e-07,4.353676294534168,1.6419608305214535e-06,4.353676294534168
54,0.16113241071132997,0.5958344243481064,7.1909993296208e-07,4.382299914847828,1.4569942891947482e-06,4.382299914847828
55,0.16391055572359428,0.597265689182186,7.411289758763543e-07,4.372535805180599,1.5175909274970939e-06,4.372535805180599
56,0.1666887007358586,0.5984743108287593,5.656776372023678e-07,4.431754633158375,1.18411127365191e-06,4.431754633158375
57,0.1694668457481229,0.599926568062806,7.936214945267776e-07,4.351224678014075,1.6590409306478965e-06,4.351224678014075
58,0.1722449907603872,0.5953814579506362,6.848594921031801e-07,4.382335319159941,1.456874989761633e-06,4.382335319159941
59,0.17502313577265152,0.5959072243096674,7.039509357547404e-07,4.373239091336071,1.5134191070799772e-06,4.373239091336071
60,0.17780128078491583,0.5957691057690812,6.96498287098239e-07,4.372899349807801,1.515608729748879e-06,4.372899349807801
61,0.18057942579718014,0.5946174420338679,6.736895235314085e-07,4.377770618998592,1.4851999102192334e-06,4.377770618998592
62,0.18335757080944445,0.6003368496105258,7.781470609356029e-07,4.341924230174056,1.7250998470492717e-06,4.341924230174056
63,0.18613571582170876,0.5995732900233552,7.557113151930078e-07,4.345864384242739,1.6969368012205907e-06,4.345864384242739
64,0.18891386083397307,0.5906493366435971,4.7681710572715564e-07,4.448623258692533,1.1049325666224131e-06,4.448623258692533
65,0.19169200584623738,0.5939667137679017,6.414529211274351e-07,4.377880226552293,1.4846590584557868e-06,4.377880226552293
66,0.1944701508585017,0.5949349899693938,6.606007903597699e-07,4.368378111904207,1.5448295502949878e-06,4.368378111904207
67,0.197248295870766,0.5941589446625812,6.421062093159231e-07,4.372104346528202,1.521031278988759e-06,4.372104346528202
68,0.20002644088303032,0.5932596741957142,6.211718426382997e-07,4.376911912374371,1.4908562148995953e-06,4.376911912374371
69,0.20280458589529463,0.5936376926094471,6.281839319393419e-07,4.371582492373437,1.524482040709174e-06,4.371582492373437
70,0.20558273090755894,0.594230449661649,6.373562327856863e-07,4.365512128482008,1.5636883547547185e-06,4.365512128482008
71,0.20836087591982325,0.5935637728925406,6.231185493024983e-07,4.367908999732876,1.5481843459840248e-06,4.367908999732876
72,0.21113902093208756,0.5918719617288298,5.795996705347126e-07,4.381641929517147,1.4618722103731613e-06,4.381641929517147
73,0.21391716594435187,0.5925170894995979,5.930337077724886e-07,4.373661097880547,1.511491857282813e-06,4.373661097880547
74,0.21669531095661618,0.5927899893920066,5.967946125317134e-07,4.36946608741279,1.5382733023494166e-06,4.36946608741279
75,0.2222516009811448,0.5886811465842835,4.689790458489514e-07,4.418738980180919,1.2521657132793774e-06,4.418738980180919
76,0.2250297459934091,0.5927800169336759,5.85380939770753e-07,4.3655983487430765,1.563453291183769e-06,4.3655983487430765
77,0.22780789100567342,0.5879328868257269,4.665336088441318e-07,4.414382041654973,1.2753311194138624e-06,4.414382041654973
78,0.23058603601793773,0.5873302470950483,4.168454637421164e-07,4.437165121865052,1.159638826524559e-06,4.437165121865052
79,0.23336418103020204,0.5876513321375356,3.970319993858449e-07,4.4454085672572194,1.120371953022275e-06,4.4454085672572194
80,0.23614232604246635,0.5890337513269568,5.148735552957704e-07,4.383737432412548,1.4496933073489874e-06,4.383737432412548
81,0.23892047105473066,0.5870821988083887,4.0588596209333155e-07,4.434831456358834,1.1710361793152446e-06,4.434831456358834
