,Transformation parameter epsilon,RMS myeloma IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
20,0.24993819315298582,0.24993819315298582,0.062345390883844796,16.237273143378324,0.9986240946266951,0.1273826190324263,0.062345390883844796,16.237273143378324,0.9986550877566172,0.1273826190324263
21,0.24821740151540195,0.24821740151540195,0.041414355749750525,13.100872803852,0.9990846691832188,0.12756802118931515,0.041414355749750525,13.100872803852,0.9991063378296181,0.12756802118931515
22,0.24825200710280046,0.24825200710280046,0.04193226993217176,13.199914635145067,0.9990723938043126,0.12757202435935583,0.04193226993217176,13.199914635145067,0.999095152624837,0.12757202435935583
23,0.24790857270438263,0.24790857270438263,0.04233443723480983,13.273778359298026,0.9990626741758389,0.12757299556694596,0.04233443723480983,13.273778359298026,0.9990864694632902,0.12757299556694596
24,0.24834535502843694,0.24834535502843694,0.048494501197396116,14.320592904878422,0.998925494205903,0.1275282859593651,0.048494501197396116,14.320592904878422,0.9989535990958712,0.1275282859593651
25,0.2505427984706812,0.2505427984706812,0.07071009827420001,17.210226720375754,0.9984327919247659,0.12734562653695408,0.07071009827420001,17.210226720375754,0.9984745823189878,0.12734562653695408
26,0.2478554427954434,0.2478554427954434,0.04226552727328064,13.269986376746187,0.9990616708124244,0.12759496246754717,0.04226552727328064,13.269986376746187,0.9990879271541536,0.12759496246754717
27,0.24889074300147726,0.24889074300147726,0.05788236975091368,15.68326000406697,0.998714360168791,0.1274669788724178,0.05788236975091368,15.68326000406697,0.9987510900276403,0.1274669788724178
28,0.24725404323873082,0.24725404323873082,0.040650272566723815,12.973205571202529,0.9990958862361402,0.12761949210389056,0.040650272566723815,12.973205571202529,0.9991227606557761,0.12761949210389056
29,0.2510878666592874,0.2510878666592874,0.08084427497700099,18.23811451343915,0.9982022064363475,0.12728788816239991,0.08084427497700099,18.23811451343915,0.9982559066962272,0.12728788816239991
30,0.2472143299944395,0.2472143299944395,0.0402322973149135,12.900117903463252,0.9991035688737631,0.1276378464681473,0.0402322973149135,12.900117903463252,0.9991317706927292,0.1276378464681473
31,0.2472638405675609,0.2472638405675609,0.044982164011692694,13.759723267262155,0.9989969641752704,0.12760503067396542,0.044982164011692694,13.759723267262155,0.9990292876894882,0.12760503067396542
32,0.24727262467239933,0.24727262467239933,0.048548683716060984,14.346936421820304,0.9989165739339884,0.12758125775354737,0.048548683716060984,14.346936421820304,0.9989523352650848,0.12758125775354737
33,0.247380295058454,0.247380295058454,0.051515532582577704,14.807654068792077,0.9988483957762949,0.12757194317998535,0.051515532582577704,14.807654068792077,0.9988883098292122,0.12757194317998535
34,0.2500498352279719,0.2500498352279719,0.07490102917626965,17.67106608635937,0.9983251284724677,0.12738302909823884,0.07490102917626965,17.67106608635937,0.9983837963214266,0.12738302909823884
35,0.2467381340731462,0.2467381340731462,0.0457369691724451,13.89990128571343,0.9989756148712886,0.12763233809346666,0.0457369691724451,13.89990128571343,0.9990129908281418,0.12763233809346666
36,0.24559377285465123,0.24559377285465123,0.04183986249888816,13.21559789609648,0.9990619814004736,0.12767101185746813,0.04183986249888816,13.21559789609648,0.9990970754977927,0.12767101185746813
37,0.2457529700452915,0.2457529700452915,0.04308789563257332,13.445772326399103,0.9990331673235067,0.1276699338366806,0.04308789563257332,13.445772326399103,0.9990701476528102,0.1276699338366806
38,0.24467168274029996,0.24467168274029996,0.03744297754723369,12.367992927957783,0.9991589667559572,0.12772567835034335,0.03744297754723369,12.367992927957783,0.9991919627098478,0.12772567835034335
39,0.24484467828922515,0.24484467828922515,0.03908782879063913,12.700097970987274,0.9991212978690739,0.12771425374121195,0.03908782879063913,12.700097970987274,0.9991564803285857,0.12771425374121195
40,0.24596987878405868,0.24596987878405868,0.04940920598758962,14.503457959274089,0.9988885662394387,0.12763665655477477,0.04940920598758962,14.503457959274089,0.998933745377495,0.12763665655477477
41,0.24560793656003507,0.24560793656003507,0.04976256374508048,14.560419282205606,0.9988796328812779,0.12764256469629784,0.04976256374508048,14.560419282205606,0.9989261161068708,0.12764256469629784
42,0.24438325394470367,0.24438325394470367,0.0395369266273877,12.796456703328488,0.9991088597815613,0.12773250234883843,0.0395369266273877,12.796456703328488,0.9991468150882528,0.12773250234883843
43,0.24403761074432326,0.24403761074432326,0.03702349390611086,12.28763530358592,0.9991647767202443,0.12774500557709811,0.03702349390611086,12.28763530358592,0.9992010786361942,0.12774500557709811
44,0.24344266192243125,0.24344266192243125,0.03769186727468793,12.433564457202936,0.9991489120936988,0.1277634300367188,0.03769186727468793,12.433564457202936,0.9991866508720177,0.1277634300367188
45,0.24407688802993852,0.24407688802993852,0.04466123237225307,13.739166756212445,0.9989908335125096,0.12771074531774046,0.04466123237225307,13.739166756212445,0.999036245594446,0.12771074531774046
46,0.24511672483695832,0.24511672483695832,0.05252421446485455,14.986654350562919,0.998812334285462,0.12765425114549325,0.05252421446485455,14.986654350562919,0.9988665437133798,0.12765425114549325
47,0.2432871603503124,0.2432871603503124,0.04255291416199179,13.373058285540539,0.9990367385654271,0.12774335826059383,0.04255291416199179,13.373058285540539,0.9990817741975679,0.12774335826059383
48,0.2432656290114905,0.2432656290114905,0.04326656916748357,13.503282404470598,0.9990197497045101,0.12774331608031686,0.04326656916748357,13.503282404470598,0.9990663887234449,0.12774331608031686
49,0.24340816073261934,0.24340816073261934,0.04688585992949206,14.12346156904388,0.9989368980586393,0.1277241739792251,0.04688585992949206,14.12346156904388,0.9989882786007896,0.1277241739792251
