,Transformation parameter epsilon,RMS CML IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
43,0.01570819270415922,0.18320394106233612,0.008771235350225082,-29.968016935348647,0.9996940753037457,0.06550913116445885,0.008771235350225082,-29.968016935348647,0.9998385628317442,0.06550913116445885
44,0.01607349951123269,0.18278941727574702,0.008498369407510002,-30.415135411774603,0.9997002920001974,0.06553236147604925,0.008498369407510002,-30.415135411774603,0.9998438214678456,0.06553236147604925
45,0.01643880631830616,0.18232172875439823,0.014039991047926869,-22.71953566826851,0.9994979195429946,0.0655776078632248,0.014039991047926869,-22.71953566826851,0.9997409012770111,0.0655776078632248
46,0.01680411312537963,0.18148105927396915,0.008867325869076554,-29.71864986875307,0.9996804259407162,0.0655702482047386,0.008867325869076554,-29.71864986875307,0.9998374009312567,0.0655702482047386
47,0.0171694199324531,0.18063736097258257,0.014566871350387997,-22.12434403890003,0.999467950205005,0.0656115218368661,0.014566871350387997,-22.12434403890003,0.9997317708050341,0.0656115218368661
48,0.01753472673952657,0.1772539748535453,0.007126206862713257,-32.81421366450835,0.9997360476970191,0.06574840960931592,0.007126206862713257,-32.81421366450835,0.9998693389253495,0.06574840960931592
49,0.01790003354660004,0.17653182347291996,0.007198868911213838,-32.63369662395068,0.9997305944008944,0.06576807296602653,0.007198868911213838,-32.63369662395068,0.9998682399303631,0.06576807296602653
50,0.01826534035367351,0.17535140552894765,0.006035495104026147,-35.24740812942633,0.9997716125288305,0.06581303077573282,0.006035495104026147,-35.24740812942633,0.9998897778171871,0.06581303077573282
51,0.018630647160746982,0.1750030360198867,0.00724040992388994,-32.49016002913726,0.9997234693113802,0.0658100517561794,0.00724040992388994,-32.49016002913726,0.999867986925537,0.0658100517561794
52,0.01899595396782045,0.17381239955704095,0.006059166837117706,-35.13900203393855,0.999766139891843,0.06584906961035361,0.006059166837117706,-35.13900203393855,0.9998898227526913,0.06584906961035361
53,0.01936126077489392,0.17603148903826207,0.008753046426164042,-29.717834103428892,0.9996608154161168,0.06572379492448992,0.008753046426164042,-29.717834103428892,0.9998412857490018,0.06572379492448992
54,0.01972656758196739,0.1725444948218195,0.0071260243344567625,-32.64409509884098,0.9997196110665136,0.06587615304032989,0.0071260243344567625,-32.64409509884098,0.999870912703617,0.06587615304032989
55,0.02009187438904086,0.1707108603317445,0.0039438982066038,-41.51937770630328,0.9998431431709033,0.06594039495692393,0.0039438982066038,-41.51937770630328,0.999928878290366,0.06594039495692393
56,0.02045718119611433,0.17096257516435218,0.006772670611335758,-33.345186005099904,0.9997282597162123,0.06592645386755541,0.006772670611335758,-33.345186005099904,0.9998779463346241,0.06592645386755541
57,0.0208224880031878,0.17039224657026192,0.007534495649199757,-31.718844934990482,0.9996949115233463,0.06593598512148033,0.007534495649199757,-31.718844934990482,0.9998644881022818,0.06593598512148033
58,0.02118779481026127,0.1690972090706079,0.005928139855040671,-35.29506863104477,0.999757602703022,0.06597605916182052,0.005928139855040671,-35.29506863104477,0.999893797705364,0.06597605916182052
