,Transformation parameter epsilon,RMS colon IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
60,0.0012192609804862135,0.5176817227623408,9.551441548237708,33.648655219646955,0.9775609167071573,0.09620190908144555,9.551441548237708,33.648655219646955,0.9805471227959043,0.09620190908144555
61,0.0012369314294787674,0.5180933709449196,9.55966789912595,33.6545588639779,0.9774976919449613,0.09619079161966902,9.55966789912595,33.6545588639779,0.9805274133525079,0.09619079161966902
62,0.001254601878471321,0.5185141337052896,9.567883610883971,33.66044933823987,0.977434388469364,0.09617970655047221,9.567883610883971,33.66044933823987,0.9805076320337015,0.09617970655047221
63,0.0012722723274638749,0.5189453178219403,9.576142372701685,33.6663684932713,0.9773708874117737,0.09616860245887664,9.576142372701685,33.6663684932713,0.9804876654601319,0.09616860245887664
64,0.0012899427764564288,0.5193869637578462,9.584400677009683,33.67228220759186,0.9773072849684254,0.09615751965136864,9.584400677009683,33.67228220759186,0.9804676053013307,0.09615751965136864
65,0.0013076132254489826,0.5198400355491171,9.59268287705865,33.678209341936764,0.9772435264999046,0.09614643547135097,9.59268287705865,33.678209341936764,0.9804473995662606,0.09614643547135097
66,0.0013252836744415363,0.5203047337299502,9.60098212132275,33.68414440755994,0.9771796278639389,0.09613535460114421,9.60098212132275,33.68414440755994,0.9804270632105792,0.09613535460114421
67,0.0013429541234340901,0.5207816470944254,9.609303072657829,33.69009103586175,0.9771155772926212,0.09612427406338431,9.609303072657829,33.69009103586175,0.980406585283148,0.09612427406338431
68,0.001360624572426644,0.5212712806080777,9.617653925573304,33.6960555670617,0.9770513565392441,0.0961131855681489,9.617653925573304,33.6960555670617,0.9803859484781017,0.0961131855681489
69,0.0013782950214191979,0.5217740520220402,9.626018725779382,33.70202509599604,0.9769870011739132,0.09610210212312834,9.626018725779382,33.70202509599604,0.980365186272528,0.09610210212312834
70,0.0013959654704117515,0.5222906969754701,9.634411650115318,33.70801132989226,0.9769224780492051,0.09609101425392828,9.634411650115318,33.70801132989226,0.980344268011838,0.09609101425392828
71,0.0014136359194043054,0.522821412404384,9.642825333522948,33.71400780088229,0.9768578042581503,0.09607992505924229,9.642825333522948,33.71400780088229,0.9803232092734413,0.09607992505924229
72,0.0014313063683968593,0.5233667695705027,9.651272781542835,33.720024526047794,0.9767929497809018,0.09606882262959088,9.651272781542835,33.720024526047794,0.9803019816717524,0.09606882262959088
73,0.0014489768173894131,0.5239265382046823,9.659734573998008,33.7260471400937,0.9767279569280641,0.09605772933356349,9.659734573998008,33.7260471400937,0.9802806262791645,0.09605772933356349
74,0.001466647266381967,0.5245016856195375,9.668234936735841,33.732093652872145,0.9766627713698045,0.09604661840219625,9.668234936735841,33.732093652872145,0.9802590908456204,0.09604661840219625
75,0.0014843177153745207,0.5250923670288562,9.676768018153467,33.738159294009805,0.9765974057947532,0.09603549504378003,9.676768018153467,33.738159294009805,0.9802373874053524,0.09603549504378003
76,0.0015019881643670745,0.5256985153301882,9.685317409731947,33.74423146870612,0.9765318972132736,0.09602437465476878,9.685317409731947,33.74423146870612,0.9802155511652598,0.09602437465476878
77,0.0015196586133596284,0.5263210572680439,9.693909464489453,33.75033052355804,0.9764661842509149,0.09601323396582269,9.693909464489453,33.75033052355804,0.9801935242822721,0.09601323396582269
78,0.0015373290623521823,0.5269598670959353,9.702524997975225,33.756441518117015,0.9764003104794022,0.09600209007952068,9.702524997975225,33.756441518117015,0.9801713479655167,0.09600209007952068
79,0.001554999511344736,0.5276160337228962,9.711191533976958,33.76258538581839,0.9763342126266245,0.09599091612358174,9.711191533976958,33.76258538581839,0.9801489621908844,0.09599091612358174
80,0.0015726699603372898,0.5282888509564699,9.719873502229955,33.76873505575497,0.9762679704724636,0.09597974835148486,9.719873502229955,33.76873505575497,0.9801264431083901,0.09597974835148486
81,0.0015903404093298437,0.5289795794421349,9.728600156811076,33.77491216610161,0.9762015177527432,0.09596855463445705,9.728600156811076,33.77491216610161,0.9801037271063464,0.09596855463445705
