,Transformation parameter epsilon,RMS myeloma PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
167,0.3476143518123449,0.6264691012756908,6.0340092825301e-08,4.299519718865761,2.689623837003696e-07,4.299519718865761
168,0.34969587487708953,0.6264729600884368,6.001320979873255e-08,4.298756032486868,2.6983804696240555e-07,4.298756032486868
169,0.3517773979418341,0.6264770680799074,5.96881516875238e-08,4.297992841288687,2.7071599287814595e-07,4.297992841288687
170,0.3538589210065787,0.6264814163641862,5.9364896740289335e-08,4.297230186050754,2.715961783380325e-07,4.297230186050754
171,0.35594044407132325,0.6264860164085796,5.904341424119385e-08,4.296468140930535,2.7247852016933766e-07,4.296468140930535
172,0.3580219671360678,0.6264908553695334,5.872373890690601e-08,4.295706541084914,2.733632131014482e-07,4.295706541084914
173,0.3601034902008124,0.6264959394307326,5.840580264711798e-08,4.294945599257259,2.7425001279484307e-07,4.294945599257259
174,0.36218501326555697,0.6265012630968353,5.8089639092407576e-08,4.294185153924611,2.751391104703101e-07,4.294185153924611
175,0.3642665363303016,0.6265068408863969,5.77752139581061e-08,4.293425294385623,2.760304043757098e-07,4.293425294385623
176,0.36634805939504617,0.6265126457500845,5.746255772221769e-08,4.292665869408489,2.7692407649481704e-07,4.292665869408489
177,0.36842958245979074,0.6265187148604345,5.71515717565358e-08,4.291907211288163,2.7781973662844474e-07,4.291907211288163
178,0.3705111055245353,0.626525018516108,5.684232004130031e-08,4.291149043297233,2.787177150035828e-07,4.291149043297233
179,0.3725926285892799,0.6265315625753893,5.653477264212625e-08,4.2903914409238295,2.796179252072371e-07,4.2903914409238295
180,0.37467415165402446,0.6265383448422095,5.6228919845310933e-08,4.2896344040653585,2.8052037032027834e-07,4.2896344040653585
181,0.37675567471876903,0.6265453684269653,5.592474473233046e-08,4.2888779604559835,2.8142501982318287e-07,4.2888779604559835
182,0.37883719778351366,0.6265526352576455,5.5622248439946166e-08,4.288122068703714,2.82331925987662e-07,4.288122068703714
183,0.38091872084825823,0.6265601428171536,5.5321404223269136e-08,4.287366795441769,2.8324101141312714e-07,4.287366795441769
