,Transformation parameter epsilon,RMS myeloma IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
30,0.24817749994836658,0.24817749994836658,0.03912147083706931,12.661855312847063,0.9991353215836061,0.12758490988233023,0.03912147083706931,12.661855312847063,0.9991557966214396,0.12758490988233023
31,0.24853829847807415,0.24853829847807415,0.048121438722520254,14.256075371805066,0.9989359324769381,0.12751609654228419,0.048121438722520254,14.256075371805066,0.9989616837320292,0.12751609654228419
32,0.2479637840788451,0.2479637840788451,0.040556694857182385,12.94221642027049,0.9991024255116308,0.12758272462816225,0.040556694857182385,12.94221642027049,0.9991248241044295,0.12758272462816225
33,0.24831401467746755,0.24831401467746755,0.04703762172511225,14.084065919521121,0.9989584692937579,0.12753405120135264,0.04703762172511225,14.084065919521121,0.9989850340874749,0.12753405120135264
34,0.2484733184288637,0.2484733184288637,0.04936118171831172,14.456681816840302,0.9989063456885777,0.12752070245013405,0.04936118171831172,14.456681816840302,0.9989349091453418,0.12752070245013405
35,0.24797610767249387,0.24797610767249387,0.04650979961841131,14.003062621208526,0.9989680538812509,0.12755537257732302,0.04650979961841131,14.003062621208526,0.9989963812893611,0.12755537257732302
36,0.24736149677091626,0.24736149677091626,0.036872098965547453,12.217858142585746,0.9991811471729073,0.127637781146724,0.036872098965547453,12.217858142585746,0.9992042811083014,0.127637781146724
37,0.2505291273479052,0.2505291273479052,0.07437310874281214,17.599132037371593,0.998348835915874,0.12732983074180795,0.07437310874281214,17.599132037371593,0.9983955155848929,0.12732983074180795
38,0.24818901986318864,0.24818901986318864,0.05206761647061526,14.874943151940036,0.9988425738626864,0.12752489940508618,0.05206761647061526,14.874943151940036,0.9988764714391504,0.12752489940508618
39,0.24694266634412657,0.24694266634412657,0.03775678491330572,12.407458425012306,0.9991598153251476,0.12765065580403065,0.03775678491330572,12.407458425012306,0.9991851760737899,0.12765065580403065
40,0.24673835067865857,0.24673835067865857,0.03835909081727717,12.52990055721744,0.999145861591759,0.12764894425559534,0.03835909081727717,12.52990055721744,0.9991721809262208,0.12764894425559534
41,0.24632298420222454,0.24632298420222454,0.030904364466973956,10.866322534886237,0.9993112681957322,0.1277143484275299,0.030904364466973956,10.866322534886237,0.9993330315203846,0.1277143484275299
42,0.24764605621015875,0.24764605621015875,0.04975448400493423,14.532791373438842,0.9988909679624584,0.1275631114042157,0.04975448400493423,14.532791373438842,0.9989263329891015,0.1275631114042157
43,0.24718930438777956,0.24718930438777956,0.04598915865937346,13.930036624167865,0.9989741184512407,0.1275986300229003,0.04598915865937346,13.930036624167865,0.999007560364338,0.1275986300229003
44,0.24654094410335206,0.24654094410335206,0.04049003914161793,12.953098445273762,0.9990960565270521,0.12765028437025222,0.04049003914161793,12.953098445273762,0.9991262018706905,0.12765028437025222
